16:01:01  [main] 	Initializing Control Panel
16:01:01  [main] 	Windows Version:  Enterprise  64-bit
16:01:01  [main] 	XAMPP Version: 7.2.22
16:01:01  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
16:01:01  [main] 	You are not running with administrator rights! This will work for
16:01:01  [main] 	most application stuff but whenever you do something with services
16:01:01  [main] 	there will be a security dialogue or things will break! So think 
16:01:01  [main] 	about running this application with administrator rights!
16:01:01  [main] 	XAMPP Installation Directory: "c:\xampp\"
16:01:01  [main] 	Checking for prerequisites
16:01:01  [main] 	All prerequisites found
16:01:01  [main] 	Initializing Modules
16:01:01  [main] 	The FileZilla module is disabled
16:01:01  [main] 	The Mercury module is disabled
16:01:01  [main] 	Starting Check-Timer
16:01:01  [main] 	Control Panel Ready
16:45:29  [main] 	Deinitializing Modules
16:45:29  [main] 	Deinitializing Control Panel

